iter	Passed	Remaining
0	2	2152
1	5	2662
2	6	2302
3	7	1871
4	8	1598
5	8	1414
6	9	1293
7	11	1476
8	12	1424
9	14	1428
10	17	1557
11	20	1648
12	22	1678
13	24	1719
14	25	1649
15	27	1667
16	28	1673
17	30	1638
18	31	1622
19	31	1564
20	34	1592
21	36	1609
22	37	1609
23	39	1602
24	40	1593
25	42	1581
26	43	1566
27	44	1548
28	45	1529
29	46	1508
30	47	1486
31	48	1469
32	49	1446
33	50	1422
34	50	1390
35	51	1369
36	51	1348
37	52	1326
38	53	1306
39	53	1286
40	54	1266
41	54	1246
42	55	1226
43	55	1207
44	56	1188
45	56	1170
46	56	1153
47	57	1137
48	57	1121
49	58	1105
50	58	1090
51	59	1076
52	59	1062
53	59	1049
54	60	1036
55	60	1023
56	61	1011
57	61	999
58	62	989
59	62	978
60	62	968
61	63	958
62	63	949
63	64	940
64	64	931
65	65	923
66	65	914
67	66	906
68	66	899
69	67	891
70	67	884
71	68	877
72	68	869
73	68	862
74	69	855
75	69	848
76	70	841
77	70	834
78	71	828
79	71	821
80	71	815
81	72	809
82	72	803
83	73	798
84	73	793
85	74	787
86	74	782
87	74	775
88	75	770
89	75	765
90	76	760
91	76	755
92	76	750
93	77	745
94	77	742
95	78	737
96	78	732
97	79	727
98	79	723
99	79	717
100	80	713
101	80	709
102	81	706
103	81	702
104	81	698
105	82	694
106	82	690
107	83	686
108	83	683
109	83	679
110	84	676
111	84	672
112	85	669
113	85	665
114	86	662
115	86	659
116	86	656
117	87	653
118	87	650
119	88	647
120	88	644
121	89	640
122	89	637
123	89	634
124	90	632
125	90	629
126	91	626
127	91	623
128	91	620
129	92	618
130	92	615
131	93	613
132	93	610
133	94	607
134	94	605
135	94	602
136	95	600
137	95	597
138	96	595
139	96	592
140	96	590
141	97	587
142	97	585
143	98	582
144	98	580
145	98	578
146	99	575
147	99	573
148	100	571
149	100	569
150	100	567
151	101	565
152	101	563
153	102	561
154	102	559
155	103	557
156	103	555
157	103	553
158	104	551
159	104	549
160	105	547
161	105	545
162	105	543
163	106	542
164	106	540
165	107	538
166	107	536
167	108	534
168	108	533
169	108	531
170	109	529
171	109	527
172	110	526
173	110	524
174	110	522
175	111	520
176	111	518
177	111	517
178	112	515
179	112	513
180	113	512
181	113	510
182	114	508
183	114	507
184	114	505
185	115	504
186	115	502
187	116	501
188	116	499
189	116	497
190	117	495
191	117	494
192	117	493
193	118	491
194	118	489
195	119	488
196	119	486
197	119	484
198	120	483
199	120	481
200	120	480
201	121	478
202	121	476
203	121	475
204	122	474
205	122	472
206	123	471
207	123	469
208	123	467
209	124	466
210	124	465
211	124	463
212	125	462
213	125	461
214	126	460
215	126	458
216	126	457
217	126	455
218	127	454
219	127	452
220	128	451
221	128	450
222	128	449
223	129	448
224	129	447
225	130	445
226	130	444
227	130	443
228	131	441
229	131	440
230	132	439
231	132	438
232	132	437
233	133	436
234	133	435
235	134	434
236	134	432
237	134	430
238	134	429
239	135	428
240	135	427
241	136	426
242	136	425
243	136	423
244	137	422
245	137	421
246	138	420
247	138	419
248	138	418
249	139	417
250	139	416
251	140	415
252	140	414
253	140	413
254	141	412
255	141	411
256	142	410
257	142	409
258	142	409
259	143	408
260	143	407
261	144	406
262	144	405
263	145	404
264	145	403
265	145	402
266	146	401
267	146	400
268	147	400
269	147	399
270	148	398
271	148	397
272	148	396
273	149	395
274	149	395
275	150	394
276	150	393
277	151	392
278	151	391
279	151	390
280	152	389
281	152	388
282	153	388
283	153	387
284	153	386
285	154	385
286	154	384
287	155	383
288	155	382
289	156	382
290	156	381
291	156	380
292	157	379
293	157	378
294	158	377
295	158	377
296	158	376
297	159	375
298	159	374
299	160	373
300	160	372
301	160	372
302	161	371
303	161	370
304	162	369
305	162	368
306	162	367
307	163	367
308	163	366
309	164	365
310	164	364
311	165	363
312	165	363
313	165	362
314	166	361
315	166	360
316	167	359
317	167	359
318	167	358
319	168	357
320	168	356
321	169	356
322	169	355
323	169	354
324	170	353
325	170	352
326	171	352
327	171	351
328	172	350
329	172	350
330	172	349
331	173	348
332	173	348
333	174	347
334	174	346
335	174	345
336	175	345
337	175	344
338	176	343
339	176	342
340	177	342
341	177	341
342	177	340
343	178	340
344	178	339
345	179	338
346	179	338
347	180	337
348	180	336
349	181	336
350	181	335
351	181	334
352	182	334
353	185	337
354	185	337
355	186	337
356	187	336
357	187	336
358	188	335
359	188	335
360	189	335
361	190	335
362	190	334
363	191	334
364	192	334
365	192	334
366	193	333
367	194	333
368	194	332
369	195	332
370	196	332
371	196	332
372	197	331
373	198	331
374	198	331
375	199	331
376	200	330
377	200	330
378	201	330
379	202	330
380	203	329
381	203	329
382	204	329
383	205	329
384	205	328
385	206	328
386	207	327
387	207	327
388	207	326
389	208	325
390	208	325
391	209	325
392	210	324
393	210	323
394	211	323
395	211	322
396	211	321
397	212	321
398	212	320
399	213	320
400	213	319
401	214	318
402	214	318
403	215	317
404	215	317
405	216	316
406	216	315
407	217	315
408	217	314
409	218	314
410	218	313
411	219	313
412	219	312
413	220	311
414	220	311
415	221	310
416	221	310
417	222	309
418	222	308
419	223	308
420	223	307
421	224	306
422	224	306
423	225	305
424	225	305
425	226	304
426	226	304
427	227	303
428	227	302
429	228	302
430	228	301
431	228	301
432	229	300
433	229	299
434	230	299
435	230	298
436	231	297
437	231	297
438	232	296
439	232	296
440	233	295
441	233	295
442	234	294
443	234	294
444	235	293
445	235	293
446	236	292
447	236	291
448	237	291
449	237	290
450	238	289
451	238	289
452	239	288
453	239	288
454	240	287
455	240	286
456	240	286
457	241	285
458	241	284
459	242	284
460	242	283
461	243	283
462	243	282
463	243	281
464	244	281
465	244	280
466	245	279
467	245	279
468	245	278
469	246	277
470	246	277
471	247	276
472	247	275
473	248	275
474	248	274
475	248	273
476	249	273
477	249	272
478	250	272
479	250	271
480	250	270
481	251	270
482	251	269
483	252	268
484	252	268
485	252	267
486	253	266
487	253	266
488	254	265
489	254	264
490	255	264
491	255	263
492	255	263
493	256	262
494	256	261
495	257	261
496	257	260
